,ID,Name,location,Cuisines,rating,Dining_review,Delivery_Reviews,cost_for_one
0,0,Kannur Food Point,BTM,Kerala,3.799999952,557,48300,200
1,0,Kannur Food Point,BTM,Chinese,3.799999952,557,48300,200
2,0,Kannur Food Point,BTM,South Indian,3.799999952,557,48300,200
3,0,Kannur Food Point,BTM,Arabian,3.799999952,557,48300,200
4,0,Kannur Food Point,BTM,Juices,3.799999952,557,48300,200
5,0,Kannur Food Point,BTM,Beverages,3.799999952,557,48300,200
6,0,Kannur Food Point,BTM,Shake,3.799999952,557,48300,200
7,1,Empire Restaurant,Church Street,North Indian,4,4501,14300,200
8,1,Empire Restaurant,Church Street,Biryani,4,4501,14300,200
9,1,Empire Restaurant,Church Street,Kebab,4,4501,14300,200
10,1,Empire Restaurant,Church Street,Chinese,4,4501,14300,200
11,1,Empire Restaurant,Church Street,South Indian,4,4501,14300,200
12,1,Empire Restaurant,Church Street,Mughlai,4,4501,14300,200
13,1,Empire Restaurant,Church Street,Beverages,4,4501,14300,200
14,2,Falahaar & Kota Kachori,Koramangala 7th Block,North Indian,3.900000095,3671,80000,200
15,2,Falahaar & Kota Kachori,Koramangala 7th Block,Rajasthani,3.900000095,3671,80000,200
16,2,Falahaar & Kota Kachori,Koramangala 7th Block,Fast Food,3.900000095,3671,80000,200
17,2,Falahaar & Kota Kachori,Koramangala 7th Block,Mithai,3.900000095,3671,80000,200
18,2,Falahaar & Kota Kachori,Koramangala 7th Block,Beverages,3.900000095,3671,80000,200
19,2,Falahaar & Kota Kachori,Koramangala 7th Block,Desserts,3.900000095,3671,80000,200
20,3,Domino's Pizza,MG Road,Pizza,3.599999905,83,1966,200
21,3,Domino's Pizza,MG Road,Fast Food,3.599999905,83,1966,200
22,3,Domino's Pizza,MG Road,Desserts,3.599999905,83,1966,200
23,3,Domino's Pizza,MG Road,Beverages,3.599999905,83,1966,200
24,4,Sri Srinivas Pork Hotel,Ejipura,Fast Food,3.299999952,41,2384,200
25,5,Leon's Burgers & Wings,Koramangala 5th Block,Burger,4.199999809,691,42500,200
26,5,Leon's Burgers & Wings,Koramangala 5th Block,Fast Food,4.199999809,691,42500,200
27,5,Leon's Burgers & Wings,Koramangala 5th Block,Wraps,4.199999809,691,42500,200
28,5,Leon's Burgers & Wings,Koramangala 5th Block,Street Food,4.199999809,691,42500,200
29,5,Leon's Burgers & Wings,Koramangala 5th Block,Desserts,4.199999809,691,42500,200
30,5,Leon's Burgers & Wings,Koramangala 5th Block,Beverages,4.199999809,691,42500,200
31,6,McDonald's,MG Road,Burger,4,211,5610,200
32,6,McDonald's,MG Road,Fast Food,4,211,5610,200
33,6,McDonald's,MG Road,Beverages,4,211,5610,200
34,7,Tibb's Frankie,Indiranagar,Rolls,3.5,0,39,200
35,8,KFC,Shanti Nagar,Burger,4.099999905,213,1479,200
36,8,KFC,Shanti Nagar,Fast Food,4.099999905,213,1479,200
37,8,KFC,Shanti Nagar,Biryani,4.099999905,213,1479,200
38,8,KFC,Shanti Nagar,Desserts,4.099999905,213,1479,200
39,8,KFC,Shanti Nagar,Beverages,4.099999905,213,1479,200
40,9,Kanti Sweets,Brigade Road,Mithai,4.5,109,2540,50
41,555,Kanti Sweets,MG Road,Mithai,4.5,2,244,50
42,9,Kanti Sweets,Brigade Road,Street Food,4.5,109,2540,50
43,555,Kanti Sweets,MG Road,Street Food,4.5,2,244,50
44,9,Kanti Sweets,Brigade Road,Mithai,4.5,109,2540,50
45,555,Kanti Sweets,MG Road,Mithai,4.5,2,244,50
46,9,Kanti Sweets,Brigade Road,Street Food,4.5,109,2540,50
47,555,Kanti Sweets,MG Road,Street Food,4.5,2,244,50
48,9,Kanti Sweets,Brigade Road,Mithai,4.599999905,109,2540,200
49,555,Kanti Sweets,MG Road,Mithai,4.599999905,2,244,200
50,9,Kanti Sweets,Brigade Road,Street Food,4.599999905,109,2540,200
51,555,Kanti Sweets,MG Road,Street Food,4.599999905,2,244,200
52,9,Kanti Sweets,Brigade Road,Mithai,4.599999905,109,2540,200
53,555,Kanti Sweets,MG Road,Mithai,4.599999905,2,244,200
54,9,Kanti Sweets,Brigade Road,Street Food,4.599999905,109,2540,200
55,555,Kanti Sweets,MG Road,Street Food,4.599999905,2,244,200
56,10,Five Star Chicken,Wilson Garden,Roast Chicken,4,0,125,50
57,10,Five Star Chicken,Wilson Garden,Burger,4,0,125,50
58,10,Five Star Chicken,Wilson Garden,Fast Food,4,0,125,50
59,10,Five Star Chicken,Wilson Garden,Wraps,4,0,125,50
60,11,A2B - Adyar Ananda Bhavan,Shanti Nagar,South Indian,4.199999809,3,442,50
61,11,A2B - Adyar Ananda Bhavan,Shanti Nagar,Street Food,4.199999809,3,442,50
62,11,A2B - Adyar Ananda Bhavan,Shanti Nagar,North Indian,4.199999809,3,442,50
63,11,A2B - Adyar Ananda Bhavan,Shanti Nagar,Chinese,4.199999809,3,442,50
64,11,A2B - Adyar Ananda Bhavan,Shanti Nagar,Fast Food,4.199999809,3,442,50
65,11,A2B - Adyar Ananda Bhavan,Shanti Nagar,Beverages,4.199999809,3,442,50
66,11,A2B - Adyar Ananda Bhavan,Shanti Nagar,Desserts,4.199999809,3,442,50
67,12,Hari Super Sandwich,Brigade Road,Fast Food,3.599999905,14,1348,50
68,69,Hari Super Sandwich,Basavanagudi,Fast Food,3.599999905,48,5143,50
69,12,Hari Super Sandwich,Brigade Road,Sandwich,3.599999905,14,1348,50
70,69,Hari Super Sandwich,Basavanagudi,Sandwich,3.599999905,48,5143,50
71,12,Hari Super Sandwich,Brigade Road,Street Food,3.599999905,14,1348,50
72,69,Hari Super Sandwich,Basavanagudi,Street Food,3.599999905,48,5143,50
73,12,Hari Super Sandwich,Brigade Road,Street Food,3.599999905,14,1348,50
74,69,Hari Super Sandwich,Basavanagudi,Street Food,3.599999905,48,5143,50
75,12,Hari Super Sandwich,Brigade Road,Fast Food,3.599999905,14,1348,50
76,69,Hari Super Sandwich,Basavanagudi,Fast Food,3.599999905,48,5143,50
77,12,Hari Super Sandwich,Brigade Road,Sandwich,3.599999905,14,1348,50
78,69,Hari Super Sandwich,Basavanagudi,Sandwich,3.599999905,48,5143,50
