ID,Name,Location,Dining_Review,Delivery_Reviews
0,Kannur Food Point,BTM,557,48300
1,Empire Restaurant,Church Street,4501,14300
2,Falahaar & Kota Kachori,Koramangala 7th Block,3671,80000
3,Domino's Pizza,MG Road,83,1966
4,Sri Srinivas Pork Hotel,Ejipura,41,2384
5,Leon's Burgers & Wings,Koramangala 5th Block,691,42500
6,McDonald's,MG Road,211,5610
7,Tibb's Frankie,Indiranagar,0,39
8,KFC,Shanti Nagar,213,1479
9,Kanti Sweets,Brigade Road,109,2540
10,Five Star Chicken,Wilson Garden,0,125
11,A2B - Adyar Ananda Bhavan,Shanti Nagar,3,442
12,Hari Super Sandwich,Brigade Road,14,1348
13,WOW! Momo,Church Street,0,10
14,Kabab Magic,Richmond Town,139,2927
15,Thalassery Restaurant,Richmond Town,0,253
16,MOJO Pizza - 2X Toppings,Shanti Nagar,0,252
17,Subway,UB City,135,1103
18,Samosa Party,Brigade Road,16,858
19,Lassi Shop,Basavanagudi,0,2608
20,Nandhini Deluxe,St. Marks Road,465,2521
21,Pizza Hut,Basavanagudi,157,3495
22,Burger King,Basavanagudi,670,20800
23,Meghana Foods,Koramangala 5th Block,6846,78600
24,Onesta,Koramangala 5th Block,9640,12100
25,Al-Bek,Jayanagar,959,33800
26,Polar Bear,Basavanagudi,261,4728
27,Nandhana Palace,Koramangala 4th Block,1462,8282
28,Corner House Ice Creams,Basavanagudi,0,2356
29,Goli Vada Pav No. 1,Jayanagar,0,1070
30,CakeZone,Koramangala 6th Block,0,2187
31,La Pino'z Pizza,Basavanagudi,18,3012
32,Anand Sweets And Savouries,Koramangala 5th Block,974,7701
33,Faasos - Wraps & Rolls,Shanti Nagar,0,743
34,Ovenstory Pizza,Shanti Nagar,0,939
35,Wendy's,Shanti Nagar,0,451
36,EasyBites by Empire,Church Street,0,270
37,EatFit,Cunningham Road,0,1567
38,Kwalitywall's Frozen Dessert And Ice Cream Shop,Wilson Garden,0,350
39,California Burrito,Sigma Mall,152,3675
40,Natural Ice Cream,St. Marks Road,251,1095
41,Chai Point,Church Street,205,1555
42,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",Brigade Road,0,784
43,Rolls On Wheels,Cunningham Road,84,1116
44,Behrouz Biryani,Shanti Nagar,0,427
45,Amma's Pastries,Basavanagudi,0,671
46,Mani's Dum Biryani,Koramangala 5th Block,882,10900
47,Sharief Bhai,Koramangala 5th Block,2334,15600
48,Sri Udupi Food Hub,Koramangala 7th Block,5,1961
49,Imperial Restaurant,Indiranagar,316,7101
50,WarmOven Cake & Desserts,Indiranagar,0,11900
51,Paakashala,Jayanagar,0,1572
52,Asha Sweet Center,Basavanagudi,33,695
53,Paradise Biryani,JP Nagar,2063,21600
54,Ambur Star Briyani Since 1890,Indiranagar,95,6050
55,Truffles,St. Marks Road,1959,422
56,Dindigul Thalappakatti,Brigade Road,103,2231
