ID,Name,Cost_for_one,Cuisines,Rating
0,Kannur Food Point,200,Kerala,3.8
0,Kannur Food Point,200, Chinese,3.8
0,Kannur Food Point,200, South Indian,3.8
0,Kannur Food Point,200, Arabian,3.8
0,Kannur Food Point,200, Juices,3.8
0,Kannur Food Point,200, Beverages,3.8
0,Kannur Food Point,200, Shake,3.8
1,Empire Restaurant,200,North Indian,4
1,Empire Restaurant,200, Biryani,4
1,Empire Restaurant,200, Kebab,4
1,Empire Restaurant,200, Chinese,4
1,Empire Restaurant,200, South Indian,4
1,Empire Restaurant,200, Mughlai,4
1,Empire Restaurant,200, Beverages,4
2,Falahaar & Kota Kachori,200,North Indian,3.9
2,Falahaar & Kota Kachori,200, Rajasthani,3.9
2,Falahaar & Kota Kachori,200, Fast Food,3.9
2,Falahaar & Kota Kachori,200, Mithai,3.9
2,Falahaar & Kota Kachori,200, Beverages,3.9
2,Falahaar & Kota Kachori,200, Desserts,3.9
3,Domino's Pizza,200,Pizza,3.6
3,Domino's Pizza,200, Fast Food,3.6
3,Domino's Pizza,200, Desserts,3.6
3,Domino's Pizza,200, Beverages,3.6
4,Sri Srinivas Pork Hotel,200,Fast Food,3.3
5,Leon's Burgers & Wings,200,Burger,4.2
5,Leon's Burgers & Wings,200, Fast Food,4.2
5,Leon's Burgers & Wings,200, Wraps,4.2
5,Leon's Burgers & Wings,200, Street Food,4.2
5,Leon's Burgers & Wings,200, Desserts,4.2
5,Leon's Burgers & Wings,200, Beverages,4.2
6,McDonald's,200,Burger,4
6,McDonald's,200, Fast Food,4
6,McDonald's,200, Beverages,4
7,Tibb's Frankie,200,Rolls,3.5
8,KFC,200,Burger,4.1
8,KFC,200, Fast Food,4.1
8,KFC,200, Biryani,4.1
8,KFC,200, Desserts,4.1
8,KFC,200, Beverages,4.1
9,Kanti Sweets,50,Mithai,4.5
9,Kanti Sweets,50, Street Food,4.5
9,Kanti Sweets,50,Mithai,4.5
9,Kanti Sweets,50, Street Food,4.5
555,Kanti Sweets,200,Mithai,4.6
555,Kanti Sweets,200, Street Food,4.6
555,Kanti Sweets,200,Mithai,4.6
555,Kanti Sweets,200, Street Food,4.6
10,Five Star Chicken,50,Roast Chicken,4
10,Five Star Chicken,50, Burger,4
10,Five Star Chicken,50, Fast Food,4
10,Five Star Chicken,50, Wraps,4
11,A2B - Adyar Ananda Bhavan,50,South Indian,4.2
11,A2B - Adyar Ananda Bhavan,50, Street Food,4.2
11,A2B - Adyar Ananda Bhavan,50, North Indian,4.2
11,A2B - Adyar Ananda Bhavan,50, Chinese,4.2
11,A2B - Adyar Ananda Bhavan,50, Fast Food,4.2
11,A2B - Adyar Ananda Bhavan,50, Beverages,4.2
11,A2B - Adyar Ananda Bhavan,50, Desserts,4.2
12,Hari Super Sandwich,50,Fast Food,3.6
12,Hari Super Sandwich,50, Sandwich,3.6
12,Hari Super Sandwich,50, Street Food,3.6
12,Hari Super Sandwich,50,Street Food,3.6
12,Hari Super Sandwich,50, Fast Food,3.6
12,Hari Super Sandwich,50, Sandwich,3.6
69,Hari Super Sandwich,100,Fast Food,4.1
69,Hari Super Sandwich,100, Sandwich,4.1
69,Hari Super Sandwich,100, Street Food,4.1
69,Hari Super Sandwich,100,Street Food,4.1
69,Hari Super Sandwich,100, Fast Food,4.1
69,Hari Super Sandwich,100, Sandwich,4.1
13,WOW! Momo,50,Momos,4.1
13,WOW! Momo,50, Fast Food,4.1
13,WOW! Momo,50, Tibetan,4.1
14,Kabab Magic,50,North Indian,3.7
14,Kabab Magic,50, Kebab,3.7
14,Kabab Magic,50, Hyderabadi,3.7
14,Kabab Magic,50, Mughlai,3.7
14,Kabab Magic,50, Chinese,3.7
14,Kabab Magic,50, Rolls,3.7
15,Thalassery Restaurant,50,Kerala,3.6
15,Thalassery Restaurant,50, South Indian,3.6
15,Thalassery Restaurant,50, Seafood,3.6
15,Thalassery Restaurant,50, North Indian,3.6
15,Thalassery Restaurant,50, Chinese,3.6
15,Thalassery Restaurant,50, Arabian,3.6
15,Thalassery Restaurant,50, Beverages,3.6
15,Thalassery Restaurant,50, Shake,3.6
16,MOJO Pizza - 2X Toppings,50,Pizza,4.3
16,MOJO Pizza - 2X Toppings,50, Fast Food,4.3
16,MOJO Pizza - 2X Toppings,50, Desserts,4.3
16,MOJO Pizza - 2X Toppings,50, Beverages,4.3
17,Subway,50,Healthy Food,3.7
17,Subway,50, Fast Food,3.7
17,Subway,50, Sandwich,3.7
17,Subway,50, Salad,3.7
17,Subway,50, Beverages,3.7
17,Subway,50, Wraps,3.7
18,Samosa Party,50,Street Food,4.5
18,Samosa Party,50, Tea,4.5
19,Lassi Shop,50,Beverages,3.6
19,Lassi Shop,50, Fast Food,3.6
19,Lassi Shop,50, Burger,3.6
19,Lassi Shop,50, Shake,3.6
19,Lassi Shop,50, Juices,3.6
19,Lassi Shop,50, Ice Cream,3.6
19,Lassi Shop,50, Desserts,3.6
19,Lassi Shop,50,Beverages,3.6
19,Lassi Shop,50, Ice Cream,3.6
19,Lassi Shop,50, Desserts,3.6
19,Lassi Shop,50, Shake,3.6
540,Lassi Shop,200,Beverages,3.3
540,Lassi Shop,200, Fast Food,3.3
540,Lassi Shop,200, Burger,3.3
540,Lassi Shop,200, Shake,3.3
540,Lassi Shop,200, Juices,3.3
540,Lassi Shop,200, Ice Cream,3.3
540,Lassi Shop,200, Desserts,3.3
540,Lassi Shop,200,Beverages,3.3
540,Lassi Shop,200, Ice Cream,3.3
540,Lassi Shop,200, Desserts,3.3
540,Lassi Shop,200, Shake,3.3
20,Nandhini Deluxe,50,Andhra,4.1
20,Nandhini Deluxe,50, Biryani,4.1
20,Nandhini Deluxe,50, South Indian,4.1
20,Nandhini Deluxe,50, North Indian,4.1
20,Nandhini Deluxe,50, Chinese,4.1
20,Nandhini Deluxe,50, Mughlai,4.1
20,Nandhini Deluxe,50, Desserts,4.1
20,Nandhini Deluxe,50, Beverages,4.1
21,Pizza Hut,200,Pizza,3.8
21,Pizza Hut,200, Fast Food,3.8
21,Pizza Hut,200, Desserts,3.8
21,Pizza Hut,200, Beverages,3.8
22,Burger King,200,Burger,4.2
22,Burger King,200, Fast Food,4.2
22,Burger King,200, Beverages,4.2
22,Burger King,200, Desserts,4.2
23,Meghana Foods,200,Biryani,4.2
23,Meghana Foods,200, Andhra,4.2
23,Meghana Foods,200, North Indian,4.2
23,Meghana Foods,200, Seafood,4.2
24,Onesta,200,Pizza,3.6
24,Onesta,200, Pasta,3.6
24,Onesta,200, Fast Food,3.6
24,Onesta,200, Sandwich,3.6
